Freelancer_ID,Skills,Experience_Years,Description,Project_Rate,Rating,Jobs_Completed
F2597,"academic proofreading, training & development",3,"Entry-level Education & Training professional with 3 years of experience specializing in academic proofreading, training & development. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$422-$973,3.9,6
F2598,"microsoft azure, kubernetes",2,"Entry-level DevOps professional with 2 years of experience specializing in microsoft azure, kubernetes. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$412-$883,3.8,8
F2599,"educational technology, career coaching, academic researcher",5,"Mid-level Education & Training professional with 5 years of experience specializing in educational technology, career coaching, academic researcher. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$724-$1684,4.1,16
F2600,"teaching, training design, research writer, learning management system, program curriculum",1,"Entry-level Education & Training professional with 1 years of experience specializing in teaching, training design, research writer. Brings deep expertise in learning management system, program curriculum, enthusiastic about solving real-world challenges and expanding expertise.",$252-$982,4.2,6
F2601,"organizational development, business operations",15,"Senior Business & Consulting professional with 15 years of experience specializing in organizational development, business operations. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4161-$6211,4.6,179
F2602,"academic writing, program management",11,"Senior Writing & Content Creation professional with 11 years of experience specializing in academic writing, program management. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2333-$6051,4.7,73
F2603,"web design, website to mobile app conversion, interactive design, wordpress plugin, web development",12,"Senior Web Development professional with 12 years of experience specializing in web design, website to mobile app conversion, interactive design. Brings deep expertise in wordpress plugin, web development, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3143-$6970,4.8,82
F2604,"mobile app design, mobile app testing",7,"Mid-level Mobile Development professional with 7 years of experience specializing in mobile app design, mobile app testing. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1211-$2786,4.7,28
F2605,"website to mobile app conversion, website, conversion to html, javascript",4,"Mid-level Web Development professional with 4 years of experience specializing in website to mobile app conversion, website, conversion to html. Brings deep expertise in javascript, proficient in developing scalable solutions and optimizing workflows.",$1280-$2262,4.6,48
F2606,"kotlin, iphone ui design, react native, android",6,"Mid-level Mobile Development professional with 6 years of experience specializing in kotlin, iphone ui design, react native. Brings deep expertise in android, proficient in developing scalable solutions and optimizing workflows.",$559-$2285,4.0,27
F2607,"android, android app development, ionic framework, kotlin, ios development",6,"Mid-level Mobile Development professional with 6 years of experience specializing in android, android app development, ionic framework. Brings deep expertise in kotlin, ios development, proficient in developing scalable solutions and optimizing workflows.",$1324-$2894,4.5,37
F2608,"marketing strategy, google ads, instagram marketing",10,"Senior Marketing & SEO professional with 10 years of experience specializing in marketing strategy, google ads, instagram marketing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3166-$7202,4.8,151
F2609,"gradient boosting, data science",1,"Entry-level Data Science professional with 1 years of experience specializing in gradient boosting, data science. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$204-$696,4.3,10
F2610,"book writing, product documentation, creative writing",4,"Mid-level Writing & Content Creation professional with 4 years of experience specializing in book writing, product documentation, creative writing. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$774-$1534,4.0,19
F2611,"mongodb, database management",12,"Senior Database Management professional with 12 years of experience specializing in mongodb, database management. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2774-$5042,4.8,188
F2612,"project delivery, kanban methodology, scrum, project planning, project management professional",3,"Entry-level Project Management professional with 3 years of experience specializing in project delivery, kanban methodology, scrum. Brings deep expertise in project planning, project management professional, enthusiastic about solving real-world challenges and expanding expertise.",$249-$932,3.9,4
F2613,"azure devops, cloud architecture, aws cloudformation, openshift, gitlab",4,"Mid-level DevOps professional with 4 years of experience specializing in azure devops, cloud architecture, aws cloudformation. Brings deep expertise in openshift, gitlab, proficient in developing scalable solutions and optimizing workflows.",$1125-$2984,4.1,36
F2614,"ios, react native, iphone ui design, ionic framework",5,"Mid-level Mobile Development professional with 5 years of experience specializing in ios, react native, iphone ui design. Brings deep expertise in ionic framework, proficient in developing scalable solutions and optimizing workflows.",$881-$2474,4.2,35
F2615,"statistics, chatgpt",14,"Senior Data Science professional with 14 years of experience specializing in statistics, chatgpt. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3871-$8815,4.7,141
F2616,"digital project management, lean consulting",15,"Senior Project Management professional with 15 years of experience specializing in digital project management, lean consulting. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4164-$6435,4.8,99
F2617,"lean consulting, lean startup, project management professional",9,"Senior Project Management professional with 9 years of experience specializing in lean consulting, lean startup, project management professional. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4363-$7671,4.7,197
F2618,"security assessment & testing, personal information protection & electronic documents act",5,"Mid-level Cybersecurity professional with 5 years of experience specializing in security assessment & testing, personal information protection & electronic documents act. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$910-$1703,4.1,34
F2619,"color palette, character design, character animation, illustration, vector graphic",6,"Mid-level Graphic & Visual Design professional with 6 years of experience specializing in color palette, character design, character animation. Brings deep expertise in illustration, vector graphic, proficient in developing scalable solutions and optimizing workflows.",$1110-$2987,4.6,24
F2620,"aws cloudformation, azure machine learning, azure openai, aws cloudfront, azure cosmos db",8,"Senior DevOps professional with 8 years of experience specializing in aws cloudformation, azure machine learning, azure openai. Brings deep expertise in aws cloudfront, azure cosmos db, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1914-$5332,4.9,91
F2621,"penetration testing, cybersecurity management, source code scanning, firewall",8,"Senior Cybersecurity professional with 8 years of experience specializing in penetration testing, cybersecurity management, source code scanning. Brings deep expertise in firewall, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3862-$8003,5.0,190
F2622,"character design, logo design, branding, 2d design, 3d texturing",3,"Entry-level Graphic & Visual Design professional with 3 years of experience specializing in character design, logo design, branding. Brings deep expertise in 2d design, 3d texturing, enthusiastic about solving real-world challenges and expanding expertise.",$447-$821,3.7,3
F2623,"jenkins, azure devops server, kubernetes, serverless computing",1,"Entry-level DevOps professional with 1 years of experience specializing in jenkins, azure devops server, kubernetes. Brings deep expertise in serverless computing, enthusiastic about solving real-world challenges and expanding expertise.",$321-$854,3.6,10
F2624,"automation, aws cloudfront, cloud implementation, azure iot core",14,"Senior DevOps professional with 14 years of experience specializing in automation, aws cloudfront, cloud implementation. Brings deep expertise in azure iot core, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1880-$7254,5.0,155
F2625,"html, wordpress plugin, web service, interactive design, conversion to html",2,"Entry-level Web Development professional with 2 years of experience specializing in html, wordpress plugin, web service. Brings deep expertise in interactive design, conversion to html, enthusiastic about solving real-world challenges and expanding expertise.",$440-$871,4.2,10
F2626,"white paper, content marketing strategy, ebook writing, research papers, social media content",12,"Senior Writing & Content Creation professional with 12 years of experience specializing in white paper, content marketing strategy, ebook writing. Brings deep expertise in research papers, social media content, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4799-$7106,4.8,184
F2627,"mobile app improvement, mobile app redesign, mobile app testing, mobile app development",14,"Senior Mobile Development professional with 14 years of experience specializing in mobile app improvement, mobile app redesign, mobile app testing. Brings deep expertise in mobile app development, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2304-$5588,5.0,120
F2628,"information security consultation, encryption, vpn, security testing",10,"Senior Cybersecurity professional with 10 years of experience specializing in information security consultation, encryption, vpn. Brings deep expertise in security testing, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2142-$9761,4.6,186
F2629,"sales leadership, organizational structure, business operations, sales development",10,"Senior Business & Consulting professional with 10 years of experience specializing in sales leadership, organizational structure, business operations. Brings deep expertise in sales development, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2142-$5665,4.8,161
F2630,"mobile app development, android app development, android sdk",5,"Mid-level Mobile Development professional with 5 years of experience specializing in mobile app development, android app development, android sdk. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$797-$2724,4.1,46
F2631,"numpy, microsoft power bi",13,"Senior Data Science professional with 13 years of experience specializing in numpy, microsoft power bi. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4165-$7766,4.9,119
F2632,"security testing, ethical hacking, vpn, security infrastructure",12,"Senior Cybersecurity professional with 12 years of experience specializing in security testing, ethical hacking, vpn. Brings deep expertise in security infrastructure, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3045-$8620,4.6,107
F2633,"business writing, sales development",2,"Entry-level Business & Consulting professional with 2 years of experience specializing in business writing, sales development. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$83-$995,4.2,1
F2634,"company research, sales leadership, business process automation",14,"Senior Business & Consulting professional with 14 years of experience specializing in company research, sales leadership, business process automation. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2241-$9719,4.9,196
F2635,"social media strategy, instagram marketing, seo keyword research",8,"Senior Marketing & SEO professional with 8 years of experience specializing in social media strategy, instagram marketing, seo keyword research. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2405-$9244,4.9,136
F2636,"executive coaching, training online lms, instructional design, exam preparation",7,"Mid-level Education & Training professional with 7 years of experience specializing in executive coaching, training online lms, instructional design. Brings deep expertise in exam preparation, proficient in developing scalable solutions and optimizing workflows.",$1350-$2928,4.5,45
F2637,"seo keyword research, facebook advertising, on-page seo, search engine optimization, email marketing",1,"Entry-level Marketing & SEO professional with 1 years of experience specializing in seo keyword research, facebook advertising, on-page seo. Brings deep expertise in search engine optimization, email marketing, enthusiastic about solving real-world challenges and expanding expertise.",$194-$745,3.9,2
F2638,"program management, teaching english, academic writing, teaching spanish, course",9,"Senior Education & Training professional with 9 years of experience specializing in program management, teaching english, academic writing. Brings deep expertise in teaching spanish, course, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4331-$9364,4.9,64
F2639,"deep learning, google data studio, numpy",3,"Entry-level Data Science professional with 3 years of experience specializing in deep learning, google data studio, numpy. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$264-$844,4.4,4
F2640,"white paper, research papers, product documentation",2,"Entry-level Writing & Content Creation professional with 2 years of experience specializing in white paper, research papers, product documentation. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$327-$605,3.5,4
F2641,"gitlab, ansible, serverless computing, devops engineering",8,"Senior DevOps professional with 8 years of experience specializing in gitlab, ansible, serverless computing. Brings deep expertise in devops engineering, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2444-$9842,4.6,195
F2642,"adobe after effects, motion graphics, concept artistry",5,"Mid-level Graphic & Visual Design professional with 5 years of experience specializing in adobe after effects, motion graphics, concept artistry. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$998-$2297,4.2,48
F2643,"usability testing, ux copy, adobe xd, user interface design, ui/ux prototyping",15,"Senior UI/UX Design professional with 15 years of experience specializing in usability testing, ux copy, adobe xd. Brings deep expertise in user interface design, ui/ux prototyping, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2146-$8305,4.6,146
F2644,"training, curriculum development, workshop facilitation",8,"Senior Education & Training professional with 8 years of experience specializing in training, curriculum development, workshop facilitation. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3046-$7172,4.9,135
F2645,"deep learning modeling, feature extraction, report writing, recommendation system, artificial intelligence",15,"Senior Data Science professional with 15 years of experience specializing in deep learning modeling, feature extraction, report writing. Brings deep expertise in recommendation system, artificial intelligence, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4422-$9611,4.7,99
F2646,"security policies & procedures documentation, information security consultation",8,"Senior Cybersecurity professional with 8 years of experience specializing in security policies & procedures documentation, information security consultation. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4419-$6763,4.8,135
F2647,"wordpress, web scraping plugin, wordpress plugin",10,"Senior Web Development professional with 10 years of experience specializing in wordpress, web scraping plugin, wordpress plugin. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3439-$8461,4.6,59
F2648,"finnish to english translation, dutch to english translation, portuguese",4,"Mid-level Translation & Languages professional with 4 years of experience specializing in finnish to english translation, dutch to english translation, portuguese. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$686-$2259,4.8,34
F2649,"restful api, database, javascript, api integration",12,"Senior Web Development professional with 12 years of experience specializing in restful api, database, javascript. Brings deep expertise in api integration, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2313-$5491,4.8,175
F2650,"firewall, web application security, cybersecurity management",8,"Senior Cybersecurity professional with 8 years of experience specializing in firewall, web application security, cybersecurity management. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3979-$9232,4.7,112
F2651,"2d design, digital art, photo editing",13,"Senior Graphic & Visual Design professional with 13 years of experience specializing in 2d design, digital art, photo editing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4656-$9348,4.6,152
F2652,"mobile ui designer, native app development",5,"Mid-level Mobile Development professional with 5 years of experience specializing in mobile ui designer, native app development. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1400-$1862,4.2,46
F2653,"figma, mobile ui design, ui/ux prototyping, wireframing, user experience design",11,"Senior UI/UX Design professional with 11 years of experience specializing in figma, mobile ui design, ui/ux prototyping. Brings deep expertise in wireframing, user experience design, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4267-$8061,4.9,75
F2654,"security assessment & testing, information security, security infrastructure",7,"Mid-level Cybersecurity professional with 7 years of experience specializing in security assessment & testing, information security, security infrastructure. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$895-$1565,4.6,30
F2655,"prototyping, mobile ui design, user research, design enhancement, ux copy",5,"Mid-level UI/UX Design professional with 5 years of experience specializing in prototyping, mobile ui design, user research. Brings deep expertise in design enhancement, ux copy, proficient in developing scalable solutions and optimizing workflows.",$1117-$2251,4.6,10
F2656,"business consulting, business writing, company research",14,"Senior Business & Consulting professional with 14 years of experience specializing in business consulting, business writing, company research. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4189-$8682,4.8,54
F2657,"speech writing, content seo, content marketing strategy, book writing",4,"Mid-level Writing & Content Creation professional with 4 years of experience specializing in speech writing, content seo, content marketing strategy. Brings deep expertise in book writing, proficient in developing scalable solutions and optimizing workflows.",$1370-$2345,4.0,31
F2658,"tiktok marketing, google adsense, search engine optimization",10,"Senior Marketing & SEO professional with 10 years of experience specializing in tiktok marketing, google adsense, search engine optimization. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3307-$6123,4.8,136
F2659,"vector graphic, 3d design, 2d design",12,"Senior Graphic & Visual Design professional with 12 years of experience specializing in vector graphic, 3d design, 2d design. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2442-$7201,4.9,97
F2660,"database management, data warehousing, mongodb",6,"Mid-level Database Management professional with 6 years of experience specializing in database management, data warehousing, mongodb. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1226-$1744,4.4,33
F2661,"czech to english translation, urdu to english translation, italian, english to finnish translation",4,"Mid-level Translation & Languages professional with 4 years of experience specializing in czech to english translation, urdu to english translation, italian. Brings deep expertise in english to finnish translation, proficient in developing scalable solutions and optimizing workflows.",$1064-$1894,4.1,18
F2662,"english to greek translation, hebrew",4,"Mid-level Translation & Languages professional with 4 years of experience specializing in english to greek translation, hebrew. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1040-$2963,4.6,41
F2663,"conversion rate optimization, linkedin marketing",6,"Mid-level Marketing & SEO professional with 6 years of experience specializing in conversion rate optimization, linkedin marketing. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$520-$1595,4.1,28
F2664,"analytics & tracking setup, marketing analytics",9,"Senior Marketing & SEO professional with 9 years of experience specializing in analytics & tracking setup, marketing analytics. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4869-$6802,4.8,57
F2665,"english to bulgarian translation, czech, portuguese, english to japanese translation, polish",7,"Mid-level Translation & Languages professional with 7 years of experience specializing in english to bulgarian translation, czech, portuguese. Brings deep expertise in english to japanese translation, polish, proficient in developing scalable solutions and optimizing workflows.",$1152-$1711,4.7,28
F2666,"security assessment & testing, network security",6,"Mid-level Cybersecurity professional with 6 years of experience specializing in security assessment & testing, network security. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$643-$1785,4.6,47
F2667,"leadership skills, business process modeling, business intelligence software",1,"Entry-level Business & Consulting professional with 1 years of experience specializing in leadership skills, business process modeling, business intelligence software. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$482-$828,3.9,6
F2668,"english to malay translation, albanian to english translation, finnish, english to danish translation, hebrew",5,"Mid-level Translation & Languages professional with 5 years of experience specializing in english to malay translation, albanian to english translation, finnish. Brings deep expertise in english to danish translation, hebrew, proficient in developing scalable solutions and optimizing workflows.",$1393-$2138,4.6,12
F2669,"user experience strategy, user experience design, design enhancement, ui/ux prototyping",12,"Senior UI/UX Design professional with 12 years of experience specializing in user experience strategy, user experience design, design enhancement. Brings deep expertise in ui/ux prototyping, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2438-$9693,4.6,176
F2670,"english to polish translation, persian, german, norwegian, hebrew to english translation",8,"Senior Translation & Languages professional with 8 years of experience specializing in english to polish translation, persian, german. Brings deep expertise in norwegian, hebrew to english translation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3613-$6856,4.6,198
F2671,"project management professional, project scheduling, project planning, scrum master",1,"Entry-level Project Management professional with 1 years of experience specializing in project management professional, project scheduling, project planning. Brings deep expertise in scrum master, enthusiastic about solving real-world challenges and expanding expertise.",$183-$965,4.1,1
F2672,"implementation plan, business intelligence software",10,"Senior Business & Consulting professional with 10 years of experience specializing in implementation plan, business intelligence software. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4264-$5195,4.9,165
F2673,"microsoft azure, azure cosmos db",3,"Entry-level DevOps professional with 3 years of experience specializing in microsoft azure, azure cosmos db. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$378-$713,3.9,5
F2674,"course, coaching, tutoring, bilingual education",13,"Senior Education & Training professional with 13 years of experience specializing in course, coaching, tutoring. Brings deep expertise in bilingual education, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1689-$5665,4.8,134
F2675,"digital art, image editing",15,"Senior Graphic & Visual Design professional with 15 years of experience specializing in digital art, image editing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3709-$9934,4.7,128
F2676,"azure devops server, kubernetes, docker",9,"Senior DevOps professional with 9 years of experience specializing in azure devops server, kubernetes, docker. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2831-$5480,4.7,58
F2677,"project scheduling, agile project management",2,"Entry-level Project Management professional with 2 years of experience specializing in project scheduling, agile project management. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$97-$981,4.3,9
F2678,"network security, information security, firewall",6,"Mid-level Cybersecurity professional with 6 years of experience specializing in network security, information security, firewall. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$693-$1645,4.1,36
F2679,"chinese to english translation, czech to english translation, hebrew to english translation",11,"Senior Translation & Languages professional with 11 years of experience specializing in chinese to english translation, czech to english translation, hebrew to english translation. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2944-$5958,4.5,176
F2680,"content analysis, fiction writing, content localization, speech writing, content creation",14,"Senior Writing & Content Creation professional with 14 years of experience specializing in content analysis, fiction writing, content localization. Brings deep expertise in speech writing, content creation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3074-$5949,4.8,134
F2681,"academic writing, content development, journalism writing",8,"Senior Writing & Content Creation professional with 8 years of experience specializing in academic writing, content development, journalism writing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2189-$8872,4.6,197
F2682,"urdu to english translation, english to persian translation",4,"Mid-level Translation & Languages professional with 4 years of experience specializing in urdu to english translation, english to persian translation. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$875-$2618,4.6,12
F2683,"digital project management, scrum, project objectives, project management office, project delivery",6,"Mid-level Project Management professional with 6 years of experience specializing in digital project management, scrum, project objectives. Brings deep expertise in project management office, project delivery, proficient in developing scalable solutions and optimizing workflows.",$1455-$2848,4.1,15
F2684,"database design, microsoft sql server administration, mongodb, database administration",8,"Senior Database Management professional with 8 years of experience specializing in database design, microsoft sql server administration, mongodb. Brings deep expertise in database administration, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2256-$9341,4.7,64
F2685,"storytelling, blog writing, creative writing, ebook writing",13,"Senior Writing & Content Creation professional with 13 years of experience specializing in storytelling, blog writing, creative writing. Brings deep expertise in ebook writing, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2599-$9197,4.9,79
F2686,"elearning, instructional design, career coaching",7,"Mid-level Education & Training professional with 7 years of experience specializing in elearning, instructional design, career coaching. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$733-$1611,4.2,17
F2687,"infrastructure management, deployment automation, azure devops server, gitlab, jenkins",8,"Senior DevOps professional with 8 years of experience specializing in infrastructure management, deployment automation, azure devops server. Brings deep expertise in gitlab, jenkins, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1596-$5422,4.6,135
F2688,"nosql database, postgresql, transact-sql, mysql, mariadb",2,"Entry-level Database Management professional with 2 years of experience specializing in nosql database, postgresql, transact-sql. Brings deep expertise in mysql, mariadb, enthusiastic about solving real-world challenges and expanding expertise.",$361-$746,4.3,10
F2689,"javascript, web scraping framework, mysql, api development",15,"Senior Web Development professional with 15 years of experience specializing in javascript, web scraping framework, mysql. Brings deep expertise in api development, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3157-$6703,4.8,135
F2690,"visual communication, usability testing, responsive design, ux copy, user research",1,"Entry-level UI/UX Design professional with 1 years of experience specializing in visual communication, usability testing, responsive design. Brings deep expertise in ux copy, user research, enthusiastic about solving real-world challenges and expanding expertise.",$239-$632,4.0,7
F2691,"azure openai, cloud architecture, ci/cd, automation, aws cloudformation",8,"Senior DevOps professional with 8 years of experience specializing in azure openai, cloud architecture, ci/cd. Brings deep expertise in automation, aws cloudformation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4333-$9213,4.7,139
F2692,"user experience strategy, user research",11,"Senior UI/UX Design professional with 11 years of experience specializing in user experience strategy, user research. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3133-$8562,4.5,72
F2693,"ux wireframe, native app development, react native, kotlin, hybrid app development",14,"Senior Mobile Development professional with 14 years of experience specializing in ux wireframe, native app development, react native. Brings deep expertise in kotlin, hybrid app development, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2347-$9906,4.7,197
F2694,"print design, logo design",2,"Entry-level Graphic & Visual Design professional with 2 years of experience specializing in print design, logo design. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$93-$806,3.8,9
F2695,"product documentation, social media content, article writing, content strategy",3,"Entry-level Writing & Content Creation professional with 3 years of experience specializing in product documentation, social media content, article writing. Brings deep expertise in content strategy, enthusiastic about solving real-world challenges and expanding expertise.",$397-$648,3.7,10
F2696,"instructional design, training design, training & development, career coaching, teaching spanish",11,"Senior Education & Training professional with 11 years of experience specializing in instructional design, training design, training & development. Brings deep expertise in career coaching, teaching spanish, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2692-$7711,5.0,162
F2697,"ux & ui, ui/ux prototyping, mobile ui design, user experience strategy, figma",13,"Senior UI/UX Design professional with 13 years of experience specializing in ux & ui, ui/ux prototyping, mobile ui design. Brings deep expertise in user experience strategy, figma, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4340-$9318,4.6,186
F2698,"mysql, database programming, database management, microsoft sql server administration",1,"Entry-level Web Development professional with 1 years of experience specializing in mysql, database programming, database management. Brings deep expertise in microsoft sql server administration, enthusiastic about solving real-world challenges and expanding expertise.",$226-$562,3.6,8
F2699,"business research, organizational behavior, business consulting, strategic plan, business management",5,"Mid-level Business & Consulting professional with 5 years of experience specializing in business research, organizational behavior, business consulting. Brings deep expertise in strategic plan, business management, proficient in developing scalable solutions and optimizing workflows.",$1466-$2042,4.7,15
F2700,"milestones, project portfolio management, digital project management",9,"Senior Project Management professional with 9 years of experience specializing in milestones, project portfolio management, digital project management. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4771-$6683,4.6,84
F2701,"concept artistry, adobe premiere pro",15,"Senior Graphic & Visual Design professional with 15 years of experience specializing in concept artistry, adobe premiere pro. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1807-$8929,4.9,66
F2702,"restful api, api integration",1,"Entry-level Web Development professional with 1 years of experience specializing in restful api, api integration. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$274-$665,4.0,1
F2703,"website to mobile app conversion, flask, cms development",14,"Senior Web Development professional with 14 years of experience specializing in website to mobile app conversion, flask, cms development. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4467-$8663,4.7,132
F2704,"sql programming, mongodb, postgresql, nosql database",6,"Mid-level Database Management professional with 6 years of experience specializing in sql programming, mongodb, postgresql. Brings deep expertise in nosql database, proficient in developing scalable solutions and optimizing workflows.",$1171-$1561,4.3,45
F2705,"exploratory data analysis, data science, classification, supervised learning",6,"Mid-level Data Science professional with 6 years of experience specializing in exploratory data analysis, data science, classification. Brings deep expertise in supervised learning, proficient in developing scalable solutions and optimizing workflows.",$1425-$2651,4.1,47
F2706,"cyber threat intelligence, information security, cybersecurity management",5,"Mid-level Cybersecurity professional with 5 years of experience specializing in cyber threat intelligence, information security, cybersecurity management. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$969-$2740,4.1,13
F2707,"english to ukrainian translation, dutch to english translation, danish, english to arabic translation",12,"Senior Translation & Languages professional with 12 years of experience specializing in english to ukrainian translation, dutch to english translation, danish. Brings deep expertise in english to arabic translation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3661-$7163,5.0,93
F2708,"adobe indesign, visual art, adobe dreamweaver, image editing, 3d animation",11,"Senior Graphic & Visual Design professional with 11 years of experience specializing in adobe indesign, visual art, adobe dreamweaver. Brings deep expertise in image editing, 3d animation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2496-$7348,4.6,114
F2709,"english to korean translation, english to urdu translation, english to finnish translation, english to italian translation",4,"Mid-level Translation & Languages professional with 4 years of experience specializing in english to korean translation, english to urdu translation, english to finnish translation. Brings deep expertise in english to italian translation, proficient in developing scalable solutions and optimizing workflows.",$1479-$1571,4.6,45
