Skills,Experience_Level,Description,Budget_Project
"DevOps: microsoft azure, aws cloudformation, azure devops, azure blockchain service; General: api, sql",Entry Level,"Entry Level DevOps professional with experience in microsoft azure, aws cloudformation, azure devops, azure blockchain service.",$66-$546
"Database Management: nosql database, mongodb, oracle database administration, mariadb; General: sql",Entry Level,"Entry Level Database Management professional with experience in nosql database, mongodb, oracle database administration, mariadb.",$314-$680
"Graphic & Visual Design: image editing, digital illustration; General: sql, project management",Expert,"Expert Graphic & Visual Design professional with experience in image editing, digital illustration.",$4376-$5260
"Writing & Content Creation: white paper, article writing; General: agile",Expert,"Expert Writing & Content Creation professional with experience in white paper, article writing.",$3606-$5157
"Cybersecurity: information security consultation, personal information protection & electronic documents act, security testing, penetration testing; General: ",Expert,"Expert Cybersecurity professional with experience in information security consultation, personal information protection & electronic documents act, security testing, penetration testing.",$4511-$5979
"Business & Consulting: business innovation, organizational behavior, business strategy, corporate social responsibility; General: project management, git",Entry Level,"Entry Level Business & Consulting professional with experience in business innovation, organizational behavior, business strategy, corporate social responsibility.",$392-$575
"Graphic & Visual Design: adobe dreamweaver, 3d rendering; General: sql, project management",Intermediate,"Intermediate Graphic & Visual Design professional with experience in adobe dreamweaver, 3d rendering.",$1494-$2552
"Mobile Development: flutter, ux wireframe; General: project management",Intermediate,"Intermediate Mobile Development professional with experience in flutter, ux wireframe.",$1158-$2887
"Translation & Languages: italian, persian to english translation; General: agile, project management",Entry Level,"Entry Level Translation & Languages professional with experience in italian, persian to english translation.",$356-$708
"Data Science: data visualization, business intelligence; General: api, git",Expert,"Expert Data Science professional with experience in data visualization, business intelligence.",$4245-$9226
"Mobile Development: hybrid app development, mobile app redesign; General: git",Intermediate,"Intermediate Mobile Development professional with experience in hybrid app development, mobile app redesign.",$618-$2808
"Graphic & Visual Design: digital design, illustration; General: agile",Entry Level,"Entry Level Graphic & Visual Design professional with experience in digital design, illustration.",$98-$1000
"Project Management: project finance, lean consulting, kanban methodology, agile project management; General: git",Entry Level,"Entry Level Project Management professional with experience in project finance, lean consulting, kanban methodology, agile project management.",$481-$817
"Writing & Content Creation: technical writing, book writing, blog content; General: ",Entry Level,"Entry Level Writing & Content Creation professional with experience in technical writing, book writing, blog content.",$220-$547
"Graphic & Visual Design: image editing, photo manipulation; General: git",Expert,"Expert Graphic & Visual Design professional with experience in image editing, photo manipulation.",$2379-$7563
"Project Management: requirements specification, milestones, project management professional; General: git",Intermediate,"Intermediate Project Management professional with experience in requirements specification, milestones, project management professional.",$1493-$1880
"Marketing & SEO: content writing, campaign optimization; General: project management, api",Entry Level,"Entry Level Marketing & SEO professional with experience in content writing, campaign optimization.",$96-$781
"Web Development: wordpress, django; General: sql",Entry Level,"Entry Level Web Development professional with experience in wordpress, django.",$484-$823
"Database Management: oracle database administration, database administration, sql programming; General: sql",Entry Level,"Entry Level Database Management professional with experience in oracle database administration, database administration, sql programming.",$428-$751
"Translation & Languages: english to hindi translation, thai, english to malay translation, dutch; General: ",Expert,"Expert Translation & Languages professional with experience in english to hindi translation, thai, english to malay translation, dutch.",$1993-$9183
"Marketing & SEO: facebook pixel setup & optimization, off-page seo, campaign optimization; General: sql",Expert,"Expert Marketing & SEO professional with experience in facebook pixel setup & optimization, off-page seo, campaign optimization.",$4343-$9154
"Project Management: project finance, scrum, kanban methodology; General: agile",Entry Level,"Entry Level Project Management professional with experience in project finance, scrum, kanban methodology.",$173-$725
"Cybersecurity: security testing, source code scanning; General: project management, agile",Entry Level,"Entry Level Cybersecurity professional with experience in security testing, source code scanning.",$172-$766
"Cybersecurity: cybersecurity management, penetration testing, web application security, information security consultation; General: agile, api",Intermediate,"Intermediate Cybersecurity professional with experience in cybersecurity management, penetration testing, web application security, information security consultation.",$1300-$2146
"DevOps: deployment automation, cloud architecture, kubernetes; General: project management",Intermediate,"Intermediate DevOps professional with experience in deployment automation, cloud architecture, kubernetes.",$994-$1960
"Writing & Content Creation: book writing, content writing, ghostwriting, speech writing; General: git",Intermediate,"Intermediate Writing & Content Creation professional with experience in book writing, content writing, ghostwriting, speech writing.",$802-$2439
"Writing & Content Creation: academic writing, social media content; General: agile, project management",Intermediate,"Intermediate Writing & Content Creation professional with experience in academic writing, social media content.",$1419-$2557
"Graphic & Visual Design: image tracing, concept artistry; General: ",Expert,"Expert Graphic & Visual Design professional with experience in image tracing, concept artistry.",$2857-$8315
"Mobile Development: swift, react native; General: ",Entry Level,"Entry Level Mobile Development professional with experience in swift, react native.",$154-$853
"Project Management: project scheduling, project management professional; General: project management, agile",Entry Level,"Entry Level Project Management professional with experience in project scheduling, project management professional.",$380-$880
"Translation & Languages: french, german, greek to english translation; General: git",Intermediate,"Intermediate Translation & Languages professional with experience in french, german, greek to english translation.",$723-$2260
"Database Management: microsoft sql server administration, database administration; General: ",Expert,"Expert Database Management professional with experience in microsoft sql server administration, database administration.",$4350-$6831
"Data Science: data analysis, recommendation system; General: git, api",Intermediate,"Intermediate Data Science professional with experience in data analysis, recommendation system.",$1127-$1772
"Writing & Content Creation: product documentation, content audit; General: api",Expert,"Expert Writing & Content Creation professional with experience in product documentation, content audit.",$2031-$6110
"Translation & Languages: english to turkish translation, french; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in english to turkish translation, french.",$298-$570
"UI/UX Design: figma, user experience design; General: ",Expert,"Expert UI/UX Design professional with experience in figma, user experience design.",$4615-$5530
"Web Development: api documentation, api development, flask, css; General: sql",Entry Level,"Entry Level Web Development professional with experience in api documentation, api development, flask, css.",$185-$613
"UI/UX Design: adobe xd, ux copy; General: git",Entry Level,"Entry Level UI/UX Design professional with experience in adobe xd, ux copy.",$400-$882
"Writing & Content Creation: content marketing strategy, content development; General: sql, project management",Intermediate,"Intermediate Writing & Content Creation professional with experience in content marketing strategy, content development.",$1354-$2639
"Project Management: team management, project finance, project portfolio management; General: sql, api",Expert,"Expert Project Management professional with experience in team management, project finance, project portfolio management.",$1525-$8905
"Web Development: website to mobile app conversion, node.js; General: api, agile",Entry Level,"Entry Level Web Development professional with experience in website to mobile app conversion, node.js.",$147-$547
"DevOps: devops, microsoft azure; General: agile, api",Expert,"Expert DevOps professional with experience in devops, microsoft azure.",$2061-$6483
"Business & Consulting: business process modeling, business writing, implementation plan; General: api, project management",Expert,"Expert Business & Consulting professional with experience in business process modeling, business writing, implementation plan.",$4473-$8699
"Data Science: linear regression, report writing, tableau, hypothesis testing; General: ",Intermediate,"Intermediate Data Science professional with experience in linear regression, report writing, tableau, hypothesis testing.",$994-$2122
"UI/UX Design: ui/ux prototyping, ux & ui, user experience design, prototyping; General: git",Expert,"Expert UI/UX Design professional with experience in ui/ux prototyping, ux & ui, user experience design, prototyping.",$2233-$7771
"Project Management: project management professional, project objectives; General: api, agile",Intermediate,"Intermediate Project Management professional with experience in project management professional, project objectives.",$1474-$2971
"Database Management: data modeling, postgresql, database development, nosql database; General: sql",Expert,"Expert Database Management professional with experience in data modeling, postgresql, database development, nosql database.",$4548-$8989
"Cybersecurity: ethical hacking, vpn, security testing, source code scanning; General: git, agile",Entry Level,"Entry Level Cybersecurity professional with experience in ethical hacking, vpn, security testing, source code scanning.",$357-$705
"DevOps: jenkins, aws cloudformation; General: git, project management",Intermediate,"Intermediate DevOps professional with experience in jenkins, aws cloudformation.",$734-$2984
"Graphic & Visual Design: image tracing, image enhancement; General: git",Expert,"Expert Graphic & Visual Design professional with experience in image tracing, image enhancement.",$4856-$8247
"DevOps: cloud implementation, azure devops server, cloud architecture; General: ",Entry Level,"Entry Level DevOps professional with experience in cloud implementation, azure devops server, cloud architecture.",$356-$871
"Cybersecurity: cybersecurity management, security testing, security policies & procedures documentation; General: git",Expert,"Expert Cybersecurity professional with experience in cybersecurity management, security testing, security policies & procedures documentation.",$3446-$6920
"Graphic & Visual Design: branding, character design, 3d design, 3d modeling; General: sql",Entry Level,"Entry Level Graphic & Visual Design professional with experience in branding, character design, 3d design, 3d modeling.",$273-$731
"Database Management: sql server integration services, database management, data modeling, oracle database; General: project management, sql",Intermediate,"Intermediate Database Management professional with experience in sql server integration services, database management, data modeling, oracle database.",$1287-$2173
"Education & Training: teaching, curriculum design; General: git, agile",Expert,"Expert Education & Training professional with experience in teaching, curriculum design.",$4303-$6565
"Graphic & Visual Design: digital design, illustration; General: ",Intermediate,"Intermediate Graphic & Visual Design professional with experience in digital design, illustration.",$697-$2042
"Data Science: microsoft power bi, gradient boosting, feature extraction; General: git",Intermediate,"Intermediate Data Science professional with experience in microsoft power bi, gradient boosting, feature extraction.",$1416-$2151
"Web Development: web design, software developer, django, api documentation; General: ",Intermediate,"Intermediate Web Development professional with experience in web design, software developer, django, api documentation.",$1082-$2091
"Education & Training: training, teaching spanish, program management, training online lms; General: ",Entry Level,"Entry Level Education & Training professional with experience in training, teaching spanish, program management, training online lms.",$139-$945
"Education & Training: higher education, academic writing, training design; General: project management",Intermediate,"Intermediate Education & Training professional with experience in higher education, academic writing, training design.",$721-$1692
"Cybersecurity: network security, ethical hacking, information security consultation, encryption; General: project management, sql",Entry Level,"Entry Level Cybersecurity professional with experience in network security, ethical hacking, information security consultation, encryption.",$284-$771
"Web Development: gatsby.js, jinja2; General: agile",Entry Level,"Entry Level Web Development professional with experience in gatsby.js, jinja2.",$181-$835
"Graphic & Visual Design: concept artistry, color palette, 2d design, graphic design; General: agile",Intermediate,"Intermediate Graphic & Visual Design professional with experience in concept artistry, color palette, 2d design, graphic design.",$1148-$2318
"Database Management: database programming, database administration; General: sql, api",Expert,"Expert Database Management professional with experience in database programming, database administration.",$2816-$5698
"Cybersecurity: cybersecurity management, web application security; General: sql",Expert,"Expert Cybersecurity professional with experience in cybersecurity management, web application security.",$2135-$9527
"Cybersecurity: source code scanning, web application security, security infrastructure, encryption; General: api",Intermediate,"Intermediate Cybersecurity professional with experience in source code scanning, web application security, security infrastructure, encryption.",$802-$2078
"Database Management: database management, mariadb, database development, sql; General: ",Expert,"Expert Database Management professional with experience in database management, mariadb, database development, sql.",$3423-$6016
"DevOps: azure iot core, gitlab, azure blockchain service; General: api, agile",Expert,"Expert DevOps professional with experience in azure iot core, gitlab, azure blockchain service.",$2528-$5925
"Education & Training: academic research, workshop facilitation, program evaluation; General: git, agile",Expert,"Expert Education & Training professional with experience in academic research, workshop facilitation, program evaluation.",$4371-$9762
"Marketing & SEO: seo strategy, twitter marketing; General: ",Expert,"Expert Marketing & SEO professional with experience in seo strategy, twitter marketing.",$2278-$5987
"Writing & Content Creation: ghostwriting, content strategy; General: ",Expert,"Expert Writing & Content Creation professional with experience in ghostwriting, content strategy.",$3532-$8138
"Business & Consulting: price & quote negotiation, partnership development, business writing, brand consulting; General: agile",Expert,"Expert Business & Consulting professional with experience in price & quote negotiation, partnership development, business writing, brand consulting.",$3213-$9598
"Graphic & Visual Design: 2d design, photo restoration, character animation; General: ",Intermediate,"Intermediate Graphic & Visual Design professional with experience in 2d design, photo restoration, character animation.",$1255-$2204
"UI/UX Design: visual communication, user interface design, user experience design, usability testing; General: project management",Intermediate,"Intermediate UI/UX Design professional with experience in visual communication, user interface design, user experience design, usability testing.",$1380-$2429
"Mobile Development: android, ux wireframe; General: project management",Expert,"Expert Mobile Development professional with experience in android, ux wireframe.",$2844-$7534
"Mobile Development: native app development, mobile app design, iphone ui design; General: ",Expert,"Expert Mobile Development professional with experience in native app development, mobile app design, iphone ui design.",$2998-$8769
"Graphic & Visual Design: visual communication, adobe illustrator; General: agile, sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in visual communication, adobe illustrator.",$762-$1681
"DevOps: serverless computing, cloud computing, automation; General: ",Entry Level,"Entry Level DevOps professional with experience in serverless computing, cloud computing, automation.",$218-$878
"Project Management: kanban methodology, lean startup, project management professional, project management office; General: git, agile",Expert,"Expert Project Management professional with experience in kanban methodology, lean startup, project management professional, project management office.",$1593-$8918
"DevOps: cloud computing, azure openai, azure machine learning, openshift; General: ",Entry Level,"Entry Level DevOps professional with experience in cloud computing, azure openai, azure machine learning, openshift.",$208-$579
"Business & Consulting: business process automation, leadership skills; General: project management, sql",Intermediate,"Intermediate Business & Consulting professional with experience in business process automation, leadership skills.",$1499-$2766
"Database Management: mysql, mariadb, sql, data warehousing; General: agile, sql",Entry Level,"Entry Level Database Management professional with experience in mysql, mariadb, sql, data warehousing.",$155-$810
"Education & Training: training design, academic proofreading, presentation design, educational technology; General: agile",Expert,"Expert Education & Training professional with experience in training design, academic proofreading, presentation design, educational technology.",$1592-$6560
"Web Development: wordpress, database, php; General: api, project management",Expert,"Expert Web Development professional with experience in wordpress, database, php.",$2011-$6257
"Project Management: change management, project portfolio management, project scheduling; General: ",Intermediate,"Intermediate Project Management professional with experience in change management, project portfolio management, project scheduling.",$872-$2858
"Graphic & Visual Design: photo editing, print design, photo retouching, adobe photoshop; General: ",Entry Level,"Entry Level Graphic & Visual Design professional with experience in photo editing, print design, photo retouching, adobe photoshop.",$79-$689
"Mobile Development: ios, react native; General: project management",Entry Level,"Entry Level Mobile Development professional with experience in ios, react native.",$279-$583
"Web Development: api development, javascript, wordpress plugin, dbt; General: ",Intermediate,"Intermediate Web Development professional with experience in api development, javascript, wordpress plugin, dbt.",$887-$1589
"Web Development: interactive design, flask, mysql; General: sql",Intermediate,"Intermediate Web Development professional with experience in interactive design, flask, mysql.",$1423-$1857
"Data Science: feature extraction, data visualization, data science, report writing; General: ",Expert,"Expert Data Science professional with experience in feature extraction, data visualization, data science, report writing.",$4585-$5946
"Business & Consulting: business modeling, organizational plan, strategic plan; General: agile",Entry Level,"Entry Level Business & Consulting professional with experience in business modeling, organizational plan, strategic plan.",$460-$799
"Graphic & Visual Design: photo editing, freestyle drawing; General: ",Expert,"Expert Graphic & Visual Design professional with experience in photo editing, freestyle drawing.",$3200-$5776
"UI/UX Design: ux & ui, prototyping, ux copy, design enhancement; General: git",Intermediate,"Intermediate UI/UX Design professional with experience in ux & ui, prototyping, ux copy, design enhancement.",$1444-$1909
"Translation & Languages: bulgarian, chinese, french to english translation, vietnamese to english translation; General: agile, sql",Expert,"Expert Translation & Languages professional with experience in bulgarian, chinese, french to english translation, vietnamese to english translation.",$2175-$8680
"Data Science: dashboard, data scraping; General: git",Entry Level,"Entry Level Data Science professional with experience in dashboard, data scraping.",$251-$686
"Data Science: big data, chatgpt, rapidminer; General: agile",Entry Level,"Entry Level Data Science professional with experience in big data, chatgpt, rapidminer.",$441-$613
"Writing & Content Creation: product documentation, book writing, content localization; General: project management, sql",Expert,"Expert Writing & Content Creation professional with experience in product documentation, book writing, content localization.",$2962-$5453
"UI/UX Design: visual communication, usability testing, responsive design; General: ",Expert,"Expert UI/UX Design professional with experience in visual communication, usability testing, responsive design.",$2249-$7049
"UI/UX Design: wireframing, mobile ui design, figma; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in wireframing, mobile ui design, figma.",$729-$2040
"Education & Training: academic researcher, academic editing; General: api",Entry Level,"Entry Level Education & Training professional with experience in academic researcher, academic editing.",$433-$621
"Mobile Development: mobile app design, ios development; General: agile, api",Intermediate,"Intermediate Mobile Development professional with experience in mobile app design, ios development.",$1255-$2667
"Mobile Development: android, ux wireframe, ios; General: ",Intermediate,"Intermediate Mobile Development professional with experience in android, ux wireframe, ios.",$1261-$2637
"UI/UX Design: figma, responsive design, mobile ui design, visual communication; General: sql, git",Expert,"Expert UI/UX Design professional with experience in figma, responsive design, mobile ui design, visual communication.",$1891-$9874
"Project Management: scrum master, project management office, project objectives, scrum; General: git",Expert,"Expert Project Management professional with experience in scrum master, project management office, project objectives, scrum.",$4513-$5205
"Marketing & SEO: organic traffic growth, email marketing, google analytics api, off-page seo; General: ",Intermediate,"Intermediate Marketing & SEO professional with experience in organic traffic growth, email marketing, google analytics api, off-page seo.",$611-$2502
"Writing & Content Creation: speech writing, content marketing strategy; General: sql",Entry Level,"Entry Level Writing & Content Creation professional with experience in speech writing, content marketing strategy.",$101-$515
"Education & Training: tutoring, academic research, academic editing, teaching; General: api",Intermediate,"Intermediate Education & Training professional with experience in tutoring, academic research, academic editing, teaching.",$592-$1950
"Graphic & Visual Design: graphic design, adobe illustrator; General: sql",Intermediate,"Intermediate Graphic & Visual Design professional with experience in graphic design, adobe illustrator.",$1361-$2069
"Translation & Languages: hebrew to english translation, dutch to english translation; General: project management, sql",Entry Level,"Entry Level Translation & Languages professional with experience in hebrew to english translation, dutch to english translation.",$173-$839
"Database Management: sql programming, database administration, oracle database administration; General: git",Expert,"Expert Database Management professional with experience in sql programming, database administration, oracle database administration.",$3158-$6511
"UI/UX Design: ux & ui, visual communication; General: api",Intermediate,"Intermediate UI/UX Design professional with experience in ux & ui, visual communication.",$585-$2682
"Writing & Content Creation: content marketing strategy, speech writing; General: ",Expert,"Expert Writing & Content Creation professional with experience in content marketing strategy, speech writing.",$2947-$7436
"UI/UX Design: mobile ui design, visual communication, ux copy, user experience design; General: api, sql",Entry Level,"Entry Level UI/UX Design professional with experience in mobile ui design, visual communication, ux copy, user experience design.",$386-$808
"Marketing & SEO: linkedin marketing, youtube marketing; General: ",Expert,"Expert Marketing & SEO professional with experience in linkedin marketing, youtube marketing.",$1755-$9142
"Marketing & SEO: facebook pixel setup & optimization, social media optimization; General: sql, agile",Intermediate,"Intermediate Marketing & SEO professional with experience in facebook pixel setup & optimization, social media optimization.",$1293-$1995
"Project Management: team management, project finance; General: git",Intermediate,"Intermediate Project Management professional with experience in team management, project finance.",$854-$2383
"Web Development: api documentation, gatsby.js, website, php; General: sql",Intermediate,"Intermediate Web Development professional with experience in api documentation, gatsby.js, website, php.",$1150-$1578
"UI/UX Design: responsive design, user interface design; General: git, api",Entry Level,"Entry Level UI/UX Design professional with experience in responsive design, user interface design.",$339-$888
"Web Development: javascript, web development; General: api, sql",Intermediate,"Intermediate Web Development professional with experience in javascript, web development.",$793-$2170
"Writing & Content Creation: ebook writing, blog writing; General: project management, git",Entry Level,"Entry Level Writing & Content Creation professional with experience in ebook writing, blog writing.",$91-$815
"Web Development: node.js, web crawling, software architecture & design; General: ",Entry Level,"Entry Level Web Development professional with experience in node.js, web crawling, software architecture & design.",$168-$602
"Writing & Content Creation: content guidelines, content planning, storytelling; General: ",Entry Level,"Entry Level Writing & Content Creation professional with experience in content guidelines, content planning, storytelling.",$113-$720
"Business & Consulting: sales leadership, organizational behavior; General: git, agile",Expert,"Expert Business & Consulting professional with experience in sales leadership, organizational behavior.",$2616-$7372
"Database Management: mongodb, data warehousing; General: ",Entry Level,"Entry Level Database Management professional with experience in mongodb, data warehousing.",$207-$505
"Writing & Content Creation: creative writing, content strategy, social media content; General: agile, sql",Expert,"Expert Writing & Content Creation professional with experience in creative writing, content strategy, social media content.",$4209-$7203
"Database Management: data modeling, nosql database, mysql, database management; General: ",Intermediate,"Intermediate Database Management professional with experience in data modeling, nosql database, mysql, database management.",$861-$2950
"Web Development: dbt, gatsby.js, wordpress, api development; General: api",Entry Level,"Entry Level Web Development professional with experience in dbt, gatsby.js, wordpress, api development.",$458-$987
"Graphic & Visual Design: adobe premiere pro, character animation; General: ",Entry Level,"Entry Level Graphic & Visual Design professional with experience in adobe premiere pro, character animation.",$190-$675
"Translation & Languages: danish, french to spanish translation, english to portuguese translation; General: project management",Intermediate,"Intermediate Translation & Languages professional with experience in danish, french to spanish translation, english to portuguese translation.",$981-$2008
"Web Development: webgl, wordpress, html5, node.js; General: ",Entry Level,"Entry Level Web Development professional with experience in webgl, wordpress, html5, node.js.",$319-$613
"Cybersecurity: security policies & procedures documentation, security infrastructure, information security consultation, personal information protection & electronic documents act; General: project management, git",Expert,"Expert Cybersecurity professional with experience in security policies & procedures documentation, security infrastructure, information security consultation, personal information protection & electronic documents act.",$2764-$6340
"Database Management: database administration, transact-sql, oracle database administration, database development; General: agile, git",Entry Level,"Entry Level Database Management professional with experience in database administration, transact-sql, oracle database administration, database development.",$409-$575
"Graphic & Visual Design: adobe dreamweaver, 2d design; General: sql",Entry Level,"Entry Level Graphic & Visual Design professional with experience in adobe dreamweaver, 2d design.",$325-$771
"Marketing & SEO: twitter marketing, b2b marketing; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in twitter marketing, b2b marketing.",$154-$587
"Translation & Languages: thai to english translation, english to albanian translation; General: api",Intermediate,"Intermediate Translation & Languages professional with experience in thai to english translation, english to albanian translation.",$726-$2757
"Education & Training: distance education, training, training & development, exam preparation; General: git, sql",Entry Level,"Entry Level Education & Training professional with experience in distance education, training, training & development, exam preparation.",$241-$776
"Graphic & Visual Design: typography, character design, adobe lightroom, 2d illustration; General: project management",Entry Level,"Entry Level Graphic & Visual Design professional with experience in typography, character design, adobe lightroom, 2d illustration.",$100-$887
"Mobile Development: hybrid app development, mobile app development, ux wireframe; General: sql",Entry Level,"Entry Level Mobile Development professional with experience in hybrid app development, mobile app development, ux wireframe.",$304-$738
"Business & Consulting: sales strategy, partnership development; General: api, sql",Intermediate,"Intermediate Business & Consulting professional with experience in sales strategy, partnership development.",$1022-$2358
"Mobile Development: mobile app improvement, ux wireframe; General: ",Expert,"Expert Mobile Development professional with experience in mobile app improvement, ux wireframe.",$3332-$5569
"Database Management: database administration, mongodb, mariadb; General: ",Expert,"Expert Database Management professional with experience in database administration, mongodb, mariadb.",$3976-$8388
"Mobile Development: ux wireframe, flutter, ios, android app development; General: git, sql",Entry Level,"Entry Level Mobile Development professional with experience in ux wireframe, flutter, ios, android app development.",$236-$889
"Web Development: dbt, mysql, html, react; General: project management",Entry Level,"Entry Level Web Development professional with experience in dbt, mysql, html, react.",$123-$557
"Writing & Content Creation: blog writing, blog content; General: agile",Expert,"Expert Writing & Content Creation professional with experience in blog writing, blog content.",$3493-$5725
"Business & Consulting: business development, business process reengineering, implementation plan; General: ",Intermediate,"Intermediate Business & Consulting professional with experience in business development, business process reengineering, implementation plan.",$650-$1872
"Writing & Content Creation: storytelling, content development, creative writing; General: ",Entry Level,"Entry Level Writing & Content Creation professional with experience in storytelling, content development, creative writing.",$293-$970
"DevOps: azure devops server, aws cloudformation; General: ",Intermediate,"Intermediate DevOps professional with experience in azure devops server, aws cloudformation.",$1466-$2352
"Education & Training: life coaching, research writer, curriculum design; General: ",Intermediate,"Intermediate Education & Training professional with experience in life coaching, research writer, curriculum design.",$1123-$2332
"Project Management: requirements specification, project portfolio management, change management, lean startup; General: git, sql",Expert,"Expert Project Management professional with experience in requirements specification, project portfolio management, change management, lean startup.",$2705-$9095
"Marketing & SEO: social media engagement, social media optimization, social media account setup; General: project management, agile",Entry Level,"Entry Level Marketing & SEO professional with experience in social media engagement, social media optimization, social media account setup.",$255-$636
"Business & Consulting: business modeling, corporate strategy; General: git",Entry Level,"Entry Level Business & Consulting professional with experience in business modeling, corporate strategy.",$78-$791
"Data Science: data processing, data scraping; General: ",Expert,"Expert Data Science professional with experience in data processing, data scraping.",$3565-$8711
"Translation & Languages: english, german to english translation, arabic; General: ",Entry Level,"Entry Level Translation & Languages professional with experience in english, german to english translation, arabic.",$57-$816
"Education & Training: teaching english, education, program evaluation; General: git, api",Expert,"Expert Education & Training professional with experience in teaching english, education, program evaluation.",$4595-$8720
"Mobile Development: mobile app development, ios, flutter; General: git, project management",Expert,"Expert Mobile Development professional with experience in mobile app development, ios, flutter.",$3384-$6290
"Marketing & SEO: seo audit, content marketing; General: agile",Expert,"Expert Marketing & SEO professional with experience in seo audit, content marketing.",$3446-$7662
"Data Science: data wrangling, data cleansing, bayesian statistics; General: sql, agile",Intermediate,"Intermediate Data Science professional with experience in data wrangling, data cleansing, bayesian statistics.",$517-$2050
"UI/UX Design: prototyping, figma, visual communication; General: sql",Entry Level,"Entry Level UI/UX Design professional with experience in prototyping, figma, visual communication.",$338-$780
"DevOps: azure blockchain service, azure openai; General: ",Intermediate,"Intermediate DevOps professional with experience in azure blockchain service, azure openai.",$985-$2847
"Graphic & Visual Design: adobe indesign, image tracing, graphic design, photo editing; General: agile, git",Entry Level,"Entry Level Graphic & Visual Design professional with experience in adobe indesign, image tracing, graphic design, photo editing.",$424-$720
"Translation & Languages: english to french translation, english to portuguese translation, english to vietnamese translation; General: ",Expert,"Expert Translation & Languages professional with experience in english to french translation, english to portuguese translation, english to vietnamese translation.",$2208-$8454
"Database Management: oracle database, postgresql, mysql; General: sql",Expert,"Expert Database Management professional with experience in oracle database, postgresql, mysql.",$2421-$6921
"Cybersecurity: encryption, information security, security policies & procedures documentation; General: project management, sql",Entry Level,"Entry Level Cybersecurity professional with experience in encryption, information security, security policies & procedures documentation.",$67-$991
"Database Management: sql, data warehousing, data modeling; General: api, git",Intermediate,"Intermediate Database Management professional with experience in sql, data warehousing, data modeling.",$1192-$2565
"Data Science: looker, chatgpt, sql; General: sql",Entry Level,"Entry Level Data Science professional with experience in looker, chatgpt, sql.",$359-$857
"Web Development: jinja2, website to mobile app conversion, gatsby.js; General: ",Entry Level,"Entry Level Web Development professional with experience in jinja2, website to mobile app conversion, gatsby.js.",$109-$837
"Project Management: project management professional, digital project management; General: api, git",Expert,"Expert Project Management professional with experience in project management professional, digital project management.",$2496-$9241
"Translation & Languages: english to czech translation, english to danish translation; General: api",Intermediate,"Intermediate Translation & Languages professional with experience in english to czech translation, english to danish translation.",$1070-$1975
"Business & Consulting: partnership development, interpersonal skills; General: project management, sql",Expert,"Expert Business & Consulting professional with experience in partnership development, interpersonal skills.",$1830-$7218
"UI/UX Design: user interface design, visual communication, ux copy; General: project management",Intermediate,"Intermediate UI/UX Design professional with experience in user interface design, visual communication, ux copy.",$1384-$2768
"Writing & Content Creation: journalism writing, creative writing; General: ",Expert,"Expert Writing & Content Creation professional with experience in journalism writing, creative writing.",$2084-$7823
"UI/UX Design: ui/ux prototyping, visual communication, ux copy; General: ",Entry Level,"Entry Level UI/UX Design professional with experience in ui/ux prototyping, visual communication, ux copy.",$254-$793
"Cybersecurity: ethical hacking, personal information protection & electronic documents act, web application security, encryption; General: ",Expert,"Expert Cybersecurity professional with experience in ethical hacking, personal information protection & electronic documents act, web application security, encryption.",$2006-$6281
"Education & Training: career coaching, coaching, curriculum design; General: api, agile",Intermediate,"Intermediate Education & Training professional with experience in career coaching, coaching, curriculum design.",$657-$1708
"Marketing & SEO: social media engagement, conversion rate optimization; General: ",Expert,"Expert Marketing & SEO professional with experience in social media engagement, conversion rate optimization.",$2573-$6068
"DevOps: azure blockchain service, devops; General: api, agile",Intermediate,"Intermediate DevOps professional with experience in azure blockchain service, devops.",$1105-$2564
"DevOps: azure blockchain service, cloud implementation, azure openai, microsoft azure; General: ",Intermediate,"Intermediate DevOps professional with experience in azure blockchain service, cloud implementation, azure openai, microsoft azure.",$1067-$1825
"DevOps: devops, azure devops server; General: agile, sql",Entry Level,"Entry Level DevOps professional with experience in devops, azure devops server.",$148-$895
"Database Management: sql programming, microsoft sql server administration, database administration, sql server integration services; General: ",Entry Level,"Entry Level Database Management professional with experience in sql programming, microsoft sql server administration, database administration, sql server integration services.",$343-$845
"Writing & Content Creation: blog content, content strategy, content development, technical writing; General: agile, api",Entry Level,"Entry Level Writing & Content Creation professional with experience in blog content, content strategy, content development, technical writing.",$281-$656
"DevOps: azure machine learning, docker; General: git, api",Entry Level,"Entry Level DevOps professional with experience in azure machine learning, docker.",$178-$655
"Project Management: agile project management, digital project management; General: api, sql",Intermediate,"Intermediate Project Management professional with experience in agile project management, digital project management.",$1462-$1591
"Mobile Development: swift, ios; General: ",Entry Level,"Entry Level Mobile Development professional with experience in swift, ios.",$478-$889
"Web Development: software developer, dbt, web hosting; General: ",Entry Level,"Entry Level Web Development professional with experience in software developer, dbt, web hosting.",$359-$645
"Business & Consulting: interpersonal skills, business consulting, organizational structure; General: agile",Entry Level,"Entry Level Business & Consulting professional with experience in interpersonal skills, business consulting, organizational structure.",$199-$648
